node,adj nodes
96693993,"[304827155, 2162239157, 1219050765]"
304827155,"[96693993, 3364504436]"
3364504436,"[304827155, 2199250173]"
2199250173,"[304827154, 3364504436]"
419070914,"[419071989, 419070991, 419071669, 419071806]"
419071989,"[419071875, 419070914, 419071669, 419072085]"
419071669,"[419071595, 419071644, 419071989]"
419090733,"[419093005, 1086155518, 1292809932, 419087346, 419089925]"
1086155518,"[4475996728, 419089336, 1086155167, 419090733, 1086155420]"
419089336,"[419089855, 1086155518, 419089925]"
419089925,"[419089829, 419092699, 419089336]"
419071680,"[419072085, 419071806, 419071644, 419072531]"
419072085,"[419071806, 419071372, 419071989, 419071680]"
419071806,"[419071905, 419070914, 419072085]"
419092699,"[1657603892, 419089925]"
1657603892,"[419092699, 1657603988]"
419068083,"[419072412, 419068582, 419072504, 419068359]"
419068359,"[419072189, 419072457, 419068083]"
419072457,"[419072140, 419072412, 419068359, 419068369]"
419072412,"[419072442, 419072763, 419072457]"
419072531,"[419068359, 419071680, 419072546, 419072189]"
419072189,"[419072140, 419072504, 419068359, 419072531]"
419067028,"[419067012, 419067000, 419067106]"
419067106,"[419067028, 419065569, 419067000]"
419067000,"[419067261, 419067106, 419067344, 419065670]"
419071529,"[419071687, 419070785, 419071887, 419071411]"
419071887,"[1277952670, 419071529, 419070690]"
419070690,"[419070785, 419071887, 419070144]"
419070785,"[419070121, 419074664, 419071595, 419070779, 419070690]"
419072763,"[419071595, 419071887, 419072140, 419072412, 419072586]"
419072586,"[419071387, 419072527, 419072222, 419072763]"
419072527,"[419072586, 419072130, 419072034, 419071711]"
419071711,"[419071925, 419071592, 419072679, 419072527, 419071123]"
419071592,"[419071474, 419071825, 419070330, 419071711]"
419071474,"[419071592, 419070896, 419071380]"
419071380,"[419071474, 419070966, 419071994]"
419071994,"[1277952670, 419070697, 419071380]"
1277952670,"[419071687, 419071887, 419071994]"
419068286,"[1291966045, 419072763, 419068334]"
419068334,"[419072694, 419068286, 419072504]"
419072504,"[419072189, 419068582, 419068083, 419068334, 419072598]"
419072140,"[419072189, 419072763, 419071644, 419072457]"
419071968,"[419071508, 419071905, 419072504, 419072102]"
419071508,"[419072598, 419071625, 419071372, 419071968]"
419072598,"[419072694, 419072504, 419072546, 419071508]"
419068570,[419068004]
419068660,"[419067728, 419068539, 419068611]"
419067728,"[419067708, 419067608, 419068660]"
419067608,"[419067728, 419068004, 419067993, 419068034]"
419068004,"[419069697, 419067608]"
419067950,"[419072454, 419067708]"
419067708,"[419067728, 419067950]"
419068453,[419067950]
419071040,"[419070973, 419071218, 419071123]"
419070973,"[419070844, 419071040, 419070733]"
419072567,"[419072642, 3506851399, 419070795]"
419070795,"[419072567, 419070683, 419072202]"
419071218,"[419071040, 419070844, 419070809]"
419070844,"[419070973, 419071218, 419071875]"
419072708,"[419072582, 419072642]"
419072642,"[419072567, 419072136, 419072708]"
419069569,"[3033662899, 1745698652, 419070028]"
3033662899,"[3033662899, 419069569]"
419072034,"[419072130, 419071387, 419072527, 419071925]"
419072130,"[419072679, 419072527, 419072222]"
419071925,"[419071825, 419070733, 419072034, 419071711]"
419070733,"[419070816, 419070973, 419071123, 419071925]"
419071123,"[419071040, 419070733, 419070330]"
419069848,"[3958595163, 3958595160, 419069348, 419069869]"
3958595163,"[419068808, 3958595160, 419069848]"
419068808,"[3958595163, 419069348, 419068926]"
419069348,"[419069347, 419068808, 419069317]"
419071825,"[419070816, 419071592, 419070896, 419071925]"
419070816,"[419071151, 419071825, 419070733, 419070330]"
419070330,"[419070816, 419070108, 419071123]"
419072442,"[419072222, 419072679, 3530607789, 419072412, 419068369, 419068611]"
419072222,"[419072586, 419072442, 419072130]"
419072679,"[419072130, 419071711]"
419065166,[419065328]
419065328,[1479075530]
419068010,"[419068035, 419067607, 419067885, 419068034]"
419068035,"[419067832, 419068010, 419069736]"
419067832,"[419068035, 419067760, 419067888]"
419067888,"[419067832, 419067885, 419069736]"
419067885,"[419067598, 419067888]"
419067929,[419068010]
419069884,"[1707111800, 419069797, 419068039]"
419068039,"[3881992174, 419068240, 419067954, 419069884, 5113655981]"
419068240,"[419068240, 419067966, 419067686]"
419067966,"[1466943924, 419068240, 419067812]"
419068464,"[419068464, 1799218705]"
1799218705,"[419068464, 419072254, 419072393]"
419072051,"[1112947333, 419072051, 419071411]"
419071929,[419072051]
419072445,"[419068189, 419072254, 3530607789]"
3530607789,"[419068189, 419072442, 419072445, 419068594]"
419070991,"[419071875, 419068189, 419072307, 419070809, 419070914]"
419071875,"[419070844, 419071595, 419070991, 419071989]"
419071595,"[419071875, 419072454, 419071387, 419071669, 419072763]"
419068189,"[3530607789, 419068594, 419072445]"
419069725,"[419069725, 1466943924, 419069682, 419067686]"
419069495,[419069725]
1278969450,"[419075016, 419070792, 419071761, 419070775]"
419070792,"[1278969450, 419070775]"
419071761,"[1278969450, 419070843, 419070775]"
419070775,"[419070792, 1278969450]"
419071395,"[419071666, 419071708, 419068286, 419072102]"
419071708,"[419072759, 419072519, 419071625, 419071395]"
419072759,"[1291966045, 419072694, 419071708, 419072123]"
419072102,"[419068334, 419071625, 419071395, 419071968]"
419071625,"[419071508, 419072694, 419071708, 419072102]"
419072694,"[419068334, 419072759, 419071625, 419072598]"
419039810,"[419039899, 419039845, 419040113, 419041063]"
419039899,"[419040113, 419039810, 419039930]"
419040113,"[419040481, 419039899]"
419072648,"[419071666, 419072519, 419072214, 419072307]"
419072214,"[419072648, 419072195, 419072123]"
419072123,"[419071666, 419072519, 419072759, 419072214]"
419072519,"[419072123, 419071708, 419071666, 419072648]"
419071666,"[419072519, 419071395, 419072648]"
419072546,"[419071905, 419071372, 419072598, 419072531]"
419071372,"[419071905, 419071508, 419072546, 419072085]"
419071905,"[419071806, 419071968, 419071372]"
419072307,"[419072454, 419072195, 419072648]"
419067987,"[419067562, 419068471, 419067537, 419067850]"
419068471,"[419067987, 419067764, 419068111]"
419070941,"[419070843, 419071032, 419070693]"
419071032,"[419070358, 419070788, 419070941]"
419070693,"[419070358, 419070753, 419070941]"
419070358,"[419070133, 419071032, 419070693]"
419070753,"[419070133, 419071195, 419070693]"
419070133,"[419070753, 419070358, 419070167]"
419071293,"[419071195, 419070167, 419071144]"
419071144,"[419071293, 419070146, 419071154]"
419072454,"[419067950, 419072307]"
419068054,[419072454]
419068410,[419070675]
419072202,"[419068492, 419070795]"
419070683,"[2766814736, 2680067311, 419070675, 419070795]"
419070675,"[419075297, 419071207, 419070683, 419074987]"
419071195,"[419070167, 419071293, 419071761, 419071154, 419070753]"
419070843,"[419071761, 419070788, 419070941]"
2079550768,[419072582]
1416888718,"[1416888718, 419072582]"
419072582,"[1416888718, 419072708, 419067741]"
419070788,"[419071032, 419070539, 419070843]"
419072136,"[419072642, 419067552, 419072720]"
419069697,"[419068004, 419067607, 419067993]"
419067993,"[419069697, 419067607, 419067608, 419068034]"
419067607,"[419068539, 419068010, 419067993]"
419068034,"[419067889, 419068010, 419067993]"
419068369,"[419072442, 419072457, 419068611]"
419068611,"[419068582, 419068660, 419068369]"
419071154,"[419071195, 419071030, 419070809, 419070364, 419071144]"
419071030,"[419071089, 419070189, 419071154]"
419071089,"[419070664, 419071030, 419075206, 419070364]"
419070364,"[419075006, 419075202, 419070502, 419071089, 419070429]"
3218999917,[419068004]
419067598,"[419067549, 419067885, 1291600701, 419068007]"
419068007,"[419068068, 419067598, 419067655]"
419085950,"[419090290, 1931192453, 419085652, 419085851, 419087084]"
419087084,"[419085950, 419082778, 419086946]"
419082778,"[419082637, 419087084, 419081298]"
419081298,"[419080871, 4355087654, 419090290, 419082778]"
419090290,"[419078837, 419087346, 419089374, 419078201, 419081298, 419091851]"
2068629256,[419067832]
419067760,"[1291600701, 419067832, 419067598, 419067719]"
419098525,"[1288629810, 419098385, 419085950]"
1288629810,"[1288885620, 419098525, 419095561]"
1288885620,"[419102207, 419100257, 1288629810]"
419100116,"[419102207, 419099080, 419100116]"
419099080,"[419100116, 1931192453, 419099601]"
1931192453,"[419099080, 419085950, 419099601]"
419067549,"[419067566, 419067598, 419071926, 419067885, 419067665]"
419067889,"[419069853, 419069506, 419070037, 419068034]"
419069506,"[419067889, 419069402, 419069736]"
419069402,"[419069973, 419069506, 419069409]"
419069973,"[419069402, 419069911, 419069376, 419069994]"
419069911,"[419069973, 419069853, 419069867]"
419069853,"[419069852, 419069867, 419069911]"
419068884,"[419070086, 3958595160, 419069163]"
3958595160,"[3958595163, 419068884, 419069848]"
419069869,"[419069916, 419068926, 419069848]"
419069916,"[419070048, 419068893, 419069869]"
419070048,"[419070086, 419069916, 419069880, 419065721]"
419070086,"[419070060, 419070048, 419069450]"
419067945,[419067719]
419067719,"[419068510, 419067760]"
419039947,"[419039497, 419039867]"
419039497,"[419039874, 419039363, 419039947]"
419069704,[419068035]
419069736,"[419069506, 419067888, 419068035]"
419069820,"[419069852, 419069804, 419069909, 419069492]"
419069909,"[419069852, 419069820, 3553562034, 419069994]"
419069994,"[419069973, 419069909, 419069401, 419070062]"
419069401,"[419069994, 419069492, 419069409, 419069437]"
419069492,"[419069409, 419069401, 765949458]"
419068434,"[419067727, 419068177, 419068434]"
1292110710,[419068434]
419067145,"[419067347, 419067266, 2878923740]"
419068340,"[3707519374, 419072267]"
419072267,"[419072037, 419068340]"
419066796,"[419066454, 1276811538, 419066779, 2878923715]"
1276811538,"[419066779, 2878923713, 419066796]"
419066779,"[1276811538, 2878923199, 2878923713]"
419072037,"[419070951, 3188121697, 419072107, 419071920, 419072267]"
3188121697,"[419072037, 419071995]"
419067475,"[419067347, 419067435]"
419067347,"[419067475, 419067307, 419067145]"
419071995,"[3188121699, 3188121697]"
3188121699,"[3116236477, 419071995]"
419071914,"[3206211655, 419071771, 419071853]"
419071853,"[419071786, 419071914, 419071415, 419070902]"
419067307,"[419067347, 419067517, 419067435]"
419067435,"[419067475, 419067307]"
419065809,"[419065786, 419065946, 419065831]"
419065786,"[419065809, 419065880, 419065984]"
419065845,[419065809]
419070940,"[419070902, 1475011337, 419070158]"
419070158,"[419070184, 3395999483, 419070940]"
419066056,"[419066147, 419066134, 419066199, 419066102]"
419066134,"[419066056, 419066199, 419066351]"
419066199,"[419066145, 419066134]"
419065161,"[419065439, 419066259, 419066052]"
419066259,"[1303312666, 419065161, 419065286, 419066268, 419066052]"
419068788,"[419069797, 419069184, 419068929]"
419069797,"[419069884, 419069861, 419068788]"
419065785,"[419065937, 1707111724]"
419065937,[419065785]
